origin,origin_latitude,origin_longitude,destination,destination_latitude,destination_longitude
TLC,19.3371,-99.566,MTY,25.7785,-100.107
MTY,25.7785,-100.107,TLC,19.3371,-99.566
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MTY,25.7785,-100.107,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,MTY,25.7785,-100.107
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
MEX,19.4363,-99.0721,TAM,22.2964,-97.8659
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
TAM,22.2964,-97.8659,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
MEX,19.4363,-99.0721,GDL,20.5218,-103.311
GDL,20.5218,-103.311,MEX,19.4363,-99.0721
